tree_id,species,dbh,top_height,crown_radius,stem_x,stem_y,crown_ratio
1,TSHE,24.5,22.4,3.5,581426.7,5074521.7,0.790178571428571
5,TSHE,26.0,23.4,3.6,581422.9,5074525.6,0.794871794871795
7,TSHE,22.5,21.0,3.5,581419.8,5074529.1,0.780952380952381
8,TABR,8.4,5.3,2.6,581412.7,5074533.9,0.547169811320755
9,THPL,126.7,46.1,4.9,581411.1,5074534.3,0.611713665943601
10,TSHE,29.0,25.4,3.7,581414.9,5074533.2,0.803149606299213
11,TSHE,70.2,44.1,6.1,581424.1,5074528.6,0.791383219954648
12,TSHE,6.5,7.8,2.9,581412.1,5074538.3,0.538461538461539
13,TSHE,15.0,15.3,3.2,581431.3,5074524.3,0.73202614379085
16,TABR,10.7,2.4,2.7,581417.7,5074535.4,0.083333333333333
20,TSHE,52.5,37.6,4.9,581421.4,5074535.2,0.813829787234043
21,TSHE,32.5,27.5,3.9,581418.2,5074542.8,0.810909090909091
22,TSHE,55.0,38.7,5.1,581421.0,5074539.9,0.811369509043928
23,TSHE,6.5,7.8,2.9,581419.4,5074544.4,0.538461538461539
24,TSHE,8.1,9.3,2.9,581428.8,5074529.7,0.602150537634409
25,TSHE,8.2,9.4,2.9,581429.2,5074530.0,0.606382978723404
26,TSHE,12.3,13.0,3.1,581429.4,5074531.7,0.7
27,TSHE,28.5,25.0,3.7,581434.3,5074522.7,0.804
29,TSHE,17.4,17.2,3.2,581430.2,5074534.7,0.755813953488372
31,TSHE,17.1,16.9,3.2,581427.7,5074542.9,0.751479289940828
32,TSHE,6.9,8.2,2.9,581432.0,5074532.0,0.560975609756098
33,TSHE,69.0,43.7,6.0,581430.5,5074536.8,0.794050343249428
36,TSHE,13.8,14.3,3.1,581419.3,5074546.2,0.72027972027972
37,TSHE,79.5,46.7,6.8,581412.3,5074546.4,0.777301927194861
38,TABR,7.9,7.2,2.5,581411.3,5074546.7,0.666666666666667
39,TSHE,19.5,18.8,3.3,581417.3,5074548.3,0.765957446808511
40,PSME,144.5,55.7,5.8,581430.5,5074547.3,0.527827648114901
41,TSHE,23.0,21.3,3.5,581419.9,5074550.0,0.788732394366197
45,TABR,25.0,8.9,4.0,581411.2,5074560.1,0.573033707865168
46,TSHE,57.6,39.7,5.2,581411.9,5074562.3,0.808564231738035
47,TSHE,8.0,9.2,2.9,581421.9,5074555.3,0.608695652173913
48,TSHE,43.5,33.5,4.4,581432.7,5074547.7,0.814925373134328
50,TSHE,8.4,9.6,2.9,581427.7,5074555.6,0.614583333333333
51,THPL,24.8,17.6,3.7,581427.2,5074556.3,0.778409090909091
53,TSHE,42.5,33.0,4.4,581416.8,5074569.4,0.815151515151515
54,PSME,81.5,45.0,4.8,581423.1,5074565.7,0.371111111111111
55,THPL,107.0,43.3,4.6,581425.0,5074565.1,0.651270207852194
56,ABGR,58.2,41.5,2.9,581428.4,5074558.9,0.559036144578313
57,TABR,5.8,4.5,2.4,581425.8,5074569.9,0.511111111111111
58,TSHE,11.2,12.1,3.0,581429.9,5074556.9,0.677685950413223
59,TSHE,14.2,14.6,3.1,581430.6,5074564.4,0.726027397260274
60,TABR,17.8,7.3,3.3,581430.1,5074567.6,0.561643835616438
64,TSHE,6.6,7.9,2.9,581445.1,5074547.0,0.544303797468354
65,TSHE,5.4,6.8,2.8,581443.1,5074547.1,0.485294117647059
66,TSHE,14.5,14.9,3.1,581441.5,5074548.0,0.724832214765101
67,TABR,6.5,2.8,2.4,581441.7,5074548.5,0.178571428571429
68,TABR,21.8,9.3,3.7,581441.9,5074549.5,0.612903225806452
69,TSHE,12.5,13.2,3.1,581435.8,5074553.6,0.704545454545455
70,TABR,23.5,9.5,3.8,581447.5,5074550.2,0.610526315789474
71,TABR,23.2,9.0,3.8,581451.1,5074549.0,0.588888888888889
74,TABR,33.0,15.0,4.9,581436.1,5074559.3,0.7
75,ABGR,29.2,24.4,2.4,581440.7,5074557.3,0.631147540983607
76,THPL,9.5,8.3,3.6,581445.2,5074555.4,0.783132530120482
